Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex	Wing.length..mm.
ARS 048	Amazon	Amazonas	-2.864	ARS	14	B	3	M	2.665
ARS 056	Amazon	Amazonas	-2.864	ARS	14	C	2	M	2.536
ARS 057	Amazon	Amazonas	-2.864	ARS	14	C	2	F	2.356
ARS 059	Amazon	Amazonas	-2.864	ARS	14	C	2	M	2.699
ARS 061	Amazon	Amazonas	-2.864	ARS	14	C	3	M	2.533
ARS 074	Amazon	Amazonas	-2.864	ARS	17	A	2	M	2.651
ARS 076	Amazon	Amazonas	-2.864	ARS	17	A	3	F	2.465
ARS 078	Amazon	Amazonas	-2.864	ARS	17	A	3	M	2.82
ARS 082	Amazon	Amazonas	-2.864	ARS	17	B	1	M	2.549
ARS 089	Amazon	Amazonas	-2.864	ARS	17	B	2	F	2.741
ARS 093	Amazon	Amazonas	-2.864	ARS	17	B	3	F	2.389
ARS 100	Amazon	Amazonas	-2.864	ARS	17	C	1	F	2.771
ARS 103	Amazon	Amazonas	-2.864	ARS	17	C	2	M	2.588
ARS 104	Amazon	Amazonas	-2.864	ARS	17	C	2	M	2.861
ARS 108	Amazon	Amazonas	-2.864	ARS	17	C	3	F	2.449
ARS 113	Amazon	Amazonas	-2.864	ARS	3	A	1	M	2.93
ARS 116	Amazon	Amazonas	-2.864	ARS	3	A	2	F	2.755
ARS 118	Amazon	Amazonas	-2.864	ARS	3	A	2	M	3.004
ARS 119	Amazon	Amazonas	-2.864	ARS	3	A	2	F	2.934
ARS 120	Amazon	Amazonas	-2.864	ARS	3	A	2	M	2.638
ARS 124	Amazon	Amazonas	-2.864	ARS	3	A	3	F	2.765
ARS 128	Amazon	Amazonas	-2.864	ARS	3	B	1	M	2.636
ARS 136	Amazon	Amazonas	-2.864	ARS	3	B	3	M	2.694
ARS 139	Amazon	Amazonas	-2.864	ARS	3	B	3	F	2.781
ARS 142	Amazon	Amazonas	-2.864	ARS	3	C	1	F	2.461
ARS 147	Amazon	Amazonas	-2.864	ARS	3	C	2	M	2.468
ARS 156	Amazon	Amazonas	-2.864	ARS	16	A	1	F	2.609
ARS 163	Amazon	Amazonas	-2.864	ARS	16	A	2	F	2.843
ARS 164	Amazon	Amazonas	-2.864	ARS	16	A	2	M	2.944
ARS 165	Amazon	Amazonas	-2.864	ARS	16	A	2	M	2.917
ARS 166	Amazon	Amazonas	-2.864	ARS	16	A	3	F	2.704
ARS 174	Amazon	Amazonas	-2.864	ARS	16	B	1	F	2.814
