Code	Info	Biome	Locality	Temp	Sex
RMO 391		Amazon	RMO	C	F
RMO 396		Amazon	RMO	C	F
RMO 449		Amazon	RMO	C	F
RMO 537		Amazon	RMO	C	F
RMO 538		Amazon	RMO	C	F
RMO 571		Amazon	RMO	C	F
RMO 573		Amazon	RMO	C	F
RMO 629		Amazon	RMO	C	F
RMO 663		Amazon	RMO	C	F
RMO 674		Amazon	RMO	C	F
RMO 716		Amazon	RMO	C	F
RMO 080		Amazon	RMO	C	M
RMO 085		Amazon	RMO	C	M
RMO 211		Amazon	RMO	C	M
RMO 216		Amazon	RMO	C	M
RMO 219		Amazon	RMO	C	M
RMO 221		Amazon	RMO	C	M
RMO 311		Amazon	RMO	C	M
RMO 312		Amazon	RMO	C	M
RMO 403		Amazon	RMO	C	M
RMO 404		Amazon	RMO	C	M
RMO 442		Amazon	RMO	C	M
RMO 491		Amazon	RMO	C	M
RMO 536		Amazon	RMO	C	M
RMO 539		Amazon	RMO	C	M
RMO 625		Amazon	RMO	C	M
RMO 671		Amazon	RMO	C	M
RMO 707		Amazon	RMO	C	M
RMO 708		Amazon	RMO	C	M
RMO 709		Amazon	RMO	C	M
RMO 712		Amazon	RMO	C	M
TLC 105		Cerrado	TLC	A	F
TLC 150		Cerrado	TLC	A	F
TLC 151		Cerrado	TLC	A	F
TLC 162		Cerrado	TLC	A	F
TLC 198		Cerrado	TLC	A	F
TLC 207		Cerrado	TLC	A	F
TLC 244		Cerrado	TLC	A	F
TLC 248		Cerrado	TLC	A	F
TLC 249		Cerrado	TLC	A	F
TLC 285		Cerrado	TLC	A	F
TLC 286		Cerrado	TLC	A	F
TLC 332		Cerrado	TLC	A	F
TLC 335		Cerrado	TLC	A	F
TLC 336		Cerrado	TLC	A	F
TLC 342		Cerrado	TLC	A	F
TLC 379		Cerrado	TLC	A	F
TLC 384		Cerrado	TLC	A	F
TLC 427		Cerrado	TLC	A	F
TLC 428		Cerrado	TLC	A	F
TLC 431		Cerrado	TLC	A	F
TLC 104		Cerrado	TLC	A	M
TLC 114		Cerrado	TLC	A	M
TLC 163		Cerrado	TLC	A	M
TLC 194		Cerrado	TLC	A	M
TLC 206		Cerrado	TLC	A	M
TLC 239		Cerrado	TLC	A	M
TLC 242		Cerrado	TLC	A	M
TLC 245		Cerrado	TLC	A	M
TLC 253		Cerrado	TLC	A	M
TLC 284		Cerrado	TLC	A	M
TLC 295		Cerrado	TLC	A	M
TLC 296		Cerrado	TLC	A	M
TLC333		Cerrado	TLC	A	M
TLC 334		Cerrado	TLC	A	M
TLC 338		Cerrado	TLC	A	M
TLC 341		Cerrado	TLC	A	M
TLC 381		Cerrado	TLC	A	M
TLC 382		Cerrado	TLC	A	M
TLC 383		Cerrado	TLC	A	M
TLC 426		Cerrado	TLC	A	M
TLC 130		Cerrado	TLC	B	F
TLC 132		Cerrado	TLC	B	F
TLC 166		Cerrado	TLC	B	F
TLC 176		Cerrado	TLC	B	F
TLC 178		Cerrado	TLC	B	F
TLC 210		Cerrado	TLC	B	F
TLC 215		Cerrado	TLC	B	F
TLC 218		Cerrado	TLC	B	F
TLC 256		Cerrado	TLC	B	F
TLC 267		Cerrado	TLC	B	F
TLC 302		Cerrado	TLC	B	F
TLC 307		Cerrado	TLC	B	F
TLC 347		Cerrado	TLC	B	F
TLC 349		Cerrado	TLC	B	F
TLC 352		Cerrado	TLC	B	F
TLC 391		Cerrado	TLC	B	F
TLC 394		Cerrado	TLC	B	F
TLC 396		Cerrado	TLC	B	F
TLC 443		Cerrado	TLC	B	F
TLC 444		Cerrado	TLC	B	F
TLC 119		Cerrado	TLC	B	M
TLC 120		Cerrado	TLC	B	M
TLC 121		Cerrado	TLC	B	M
TLC 125		Cerrado	TLC	B	M
TLC 129		Cerrado	TLC	B	M
TLC 209		Cerrado	TLC	B	M
TLC 214		Cerrado	TLC	B	M
TLC 219		Cerrado	TLC	B	M
TLC 257		Cerrado	TLC	B	M
TLC 260		Cerrado	TLC	B	M
TLC 262		Cerrado	TLC	B	M
TLC 304		Cerrado	TLC	B	M
TLC 311		Cerrado	TLC	B	M
TLC 346		Cerrado	TLC	B	M
TLC 348		Cerrado	TLC	B	M
TLC 356		Cerrado	TLC	B	M
TLC 393		Cerrado	TLC	B	M
TLC 399		Cerrado	TLC	B	M
TLC 440		Cerrado	TLC	B	M
TLC 441		Cerrado	TLC	B	M
TLC 136		Cerrado	TLC	C	F
TLC 137		Cerrado	TLC	C	F
TLC 139		Cerrado	TLC	C	F
TLC 145		Cerrado	TLC	C	F
TLC 146		Cerrado	TLC	C	F
TLC 184		Cerrado	TLC	C	F
TLC 226		Cerrado	TLC	C	F
TLC 229		Cerrado	TLC	C	F
TLC 231		Cerrado	TLC	C	F
TLC 234		Cerrado	TLC	C	F
TLC 237		Cerrado	TLC	C	F
TLC 271		Cerrado	TLC	C	F
TLC 276		Cerrado	TLC	C	F
TLC 283		Cerrado	TLC	C	F
TLC 404		Cerrado	TLC	C	F
TLC 405		Cerrado	TLC	C	F
TLC 409		Cerrado	TLC	C	F
TLC 457		Cerrado	TLC	C	F
TLC 459		Cerrado	TLC	C	F
TLC 462		Cerrado	TLC	C	F
TLC 185		Cerrado	TLC	C	M
TLC 189		Cerrado	TLC	C	M
TLC 275		Cerrado	TLC	C	M
TLC 281		Cerrado	TLC	C	M
TLC 316		Cerrado	TLC	C	M
TLC 324		Cerrado	TLC	C	M
TLC 327		Cerrado	TLC	C	M
TLC 359		Cerrado	TLC	C	M
TLC 360		Cerrado	TLC	C	M
TLC 406		Cerrado	TLC	C	M
TLC 407		Cerrado	TLC	C	M
TLC 410		Cerrado	TLC	C	M
TLC 413		Cerrado	TLC	C	M
TLC 415		Cerrado	TLC	C	M
TLC 450		Cerrado	TLC	C	M
TLC 451		Cerrado	TLC	C	M
TLC 454		Cerrado	TLC	C	M
TLC 456		Cerrado	TLC	C	M
TLC 460		Cerrado	TLC	C	M
TLC 461		Cerrado	TLC	C	M
TPN 021		Cerrado	TPN	A	F
TPN 022		Cerrado	TPN	A	F
TPN 026		Cerrado	TPN	A	F
TPN 027		Cerrado	TPN	A	F
TPN 028		Cerrado	TPN	A	F
TPN 032		Cerrado	TPN	A	F
TPN 034		Cerrado	TPN	A	F
TPN 067		Cerrado	TPN	A	F
TPN 069		Cerrado	TPN	A	F
TPN 111		Cerrado	TPN	A	F
TPN 121		Cerrado	TPN	A	F
TPN 156		Cerrado	TPN	A	F
TPN 167		Cerrado	TPN	A	F
TPN 168		Cerrado	TPN	A	F
TPN 197		Cerrado	TPN	A	F
TPN 198		Cerrado	TPN	A	F
TPN 199		Cerrado	TPN	A	F
TPN 202		Cerrado	TPN	A	F
TPN 203		Cerrado	TPN	A	F
TPN 205		Cerrado	TPN	A	F
TPN 023		Cerrado	TPN	A	M
TPN 033		Cerrado	TPN	A	M
TPN 066		Cerrado	TPN	A	M
TPN 068		Cerrado	TPN	A	M
TPN 076		Cerrado	TPN	A	M
TPN 077		Cerrado	TPN	A	M
TPN 079		Cerrado	TPN	A	M
TPN 116		Cerrado	TPN	A	M
TPN 122		Cerrado	TPN	A	M
TPN 157		Cerrado	TPN	A	M
TPN 158		Cerrado	TPN	A	M
TPN 161		Cerrado	TPN	A	M
TPN 166		Cerrado	TPN	A	M
TPN 201		Cerrado	TPN	A	M
TPN 206		Cerrado	TPN	A	M
TPN 207		Cerrado	TPN	A	M
TPN 208		Cerrado	TPN	A	M
TPN 209		Cerrado	TPN	A	M
TPN 210		Cerrado	TPN	A	M
TPN 040		Cerrado	TPN	B	F
TPN 043		Cerrado	TPN	B	F
TPN 046		Cerrado	TPN	B	F
TPN 082		Cerrado	TPN	B	F
TPN 088		Cerrado	TPN	B	F
TPN 089		Cerrado	TPN	B	F
TPN 091		Cerrado	TPN	B	F
TPN 092		Cerrado	TPN	B	F
TPN 126	Y-RIGHT	Cerrado	TPN	B	F
TPN 131	Y	Cerrado	TPN	B	F
TPN 171	Y	Cerrado	TPN	B	F
TPN 178	Y	Cerrado	TPN	B	F
TPN 212	Y	Cerrado	TPN	B	F
TPN 213	Y	Cerrado	TPN	B	F
TPN 214	Y	Cerrado	TPN	B	F
TPN 215	Y	Cerrado	TPN	B	F
TPN 216	Y	Cerrado	TPN	B	F
TPN 224	Y	Cerrado	TPN	B	F
TPN 225	Y	Cerrado	TPN	B	F
TPN 036	Y	Cerrado	TPN	B	M
TPN 038	Y	Cerrado	TPN	B	M
TPN 041	Y	Cerrado	TPN	B	M
TPN 042	Y	Cerrado	TPN	B	M
TPN 044	Y	Cerrado	TPN	B	M
TPN 049	Y	Cerrado	TPN	B	M
TPN 086	Y	Cerrado	TPN	B	M
TPN 087	Y	Cerrado	TPN	B	M
TPN 090	Y	Cerrado	TPN	B	M
TPN 093	Y	Cerrado	TPN	B	M
