ID	Biome	State	Locality	Family	Temp_let	Sex
RPV 502	Amazon	Rondonia	RPV	28	A	F
RPV 503	Amazon	Rondonia	RPV	28	A	F
RPV 520	Amazon	Rondonia	RPV	28	B	F
RPV 540	Amazon	Rondonia	RPV	28	C	M
RPV 542	Amazon	Rondonia	RPV	28	C	M
RPV 543	Amazon	Rondonia	RPV	28	C	F
RPV 545	Amazon	Rondonia	RPV	37	A	F
RPV 549	Amazon	Rondonia	RPV	37	A	F
RPV 550	Amazon	Rondonia	RPV	37	A	M
RPV 551	Amazon	Rondonia	RPV	37	A	M
RPV 556	Amazon	Rondonia	RPV	37	A	M
RPV 562	Amazon	Rondonia	RPV	37	B	M
RPV 566	Amazon	Rondonia	RPV	37	B	F
RPV 570	Amazon	Rondonia	RPV	37	B	M
RPV 574	Amazon	Rondonia	RPV	37	B	F
RPV 578	Amazon	Rondonia	RPV	37	C	F
RPV 580	Amazon	Rondonia	RPV	37	C	M
RPV 582	Amazon	Rondonia	RPV	37	C	F
RPV 591	Amazon	Rondonia	RPV	43	A	F
RPV 594	Amazon	Rondonia	RPV	43	A	M
RPV 602	Amazon	Rondonia	RPV	43	A	F
RPV 603	Amazon	Rondonia	RPV	43	A	M
RPV 604	Amazon	Rondonia	RPV	43	A	M
RPV 613	Amazon	Rondonia	RPV	43	B	M
RPV 614	Amazon	Rondonia	RPV	43	B	M
RPV 621	Amazon	Rondonia	RPV	43	C	M
RPV 635	Amazon	Rondonia	RPV	33	A	F
RPV 649	Amazon	Rondonia	RPV	33	A	F
RPV 652	Amazon	Rondonia	RPV	33	B	M
RPV 653	Amazon	Rondonia	RPV	33	B	M
RPV 658	Amazon	Rondonia	RPV	33	B	M
RPV 662	Amazon	Rondonia	RPV	33	B	F
RPV 664	Amazon	Rondonia	RPV	33	B	F
RPV 665	Amazon	Rondonia	RPV	33	C	M
RPV 669	Amazon	Rondonia	RPV	33	C	F
RPV 670	Amazon	Rondonia	RPV	33	C	M
RPV 677	Amazon	Rondonia	RPV	33	C	M
RPV 688	Amazon	Rondonia	RPV	42	A	F
