ID	Latitude	Wing.length..mm.
RPV 664	-8.742	2.474
RPV 665	-8.742	2.455
RPV 669	-8.742	2.271
RPV 670	-8.742	2.462
RPV 677	-8.742	2.42
RPV 688	-8.742	2.717
RPV 690	-8.742	2.586
RPV 691	-8.742	2.68
RPV 693	-8.742	2.767
RPV 706	-8.742	2.538
RPV 709	-8.742	2.485
RPV 711	-8.742	2.305
RPV 714	-8.742	2.568
RPV 717	-8.742	2.459
RPV 722	-8.742	2.343
RPV 726	-8.742	2.838
RPV 728	-8.742	2.977
RPV 729	-8.742	3.122
RPV 755	-8.742	2.436
RPV 766	-8.742	2.479
SJU 014	-22.611	3.051
SJU 022	-22.611	2.853
SJU 026	-22.611	2.982
SJU 034	-22.611	2.53
SJU 037	-22.611	2.815
SJU 040	-22.611	2.748
SJU 050	-22.611	2.633
SJU 051	-22.611	2.702
SJU 055	-22.611	2.586
SJU 060	-22.611	3.114
SJU 062	-22.611	3.025
SJU 068	-22.611	2.838
SJU 075	-22.611	2.695
SJU 080	-22.611	2.651
SJU 081	-22.611	2.696
SJU 086	-22.611	2.723
SJU 104	-22.611	2.84
SJU 105	-22.611	2.613
SJU 111	-22.611	2.918
SJU 119	-22.611	2.742
SJU 120	-22.611	2.734
SJU 123	-22.611	2.776
SJU 124	-22.611	2.617
SJU 127	-22.611	2.665
SJU 129	-22.611	2.591
SJU 130	-22.611	2.767
SJU 131	-22.611	2.723
SJU 135	-22.611	2.629
SJU 136	-22.611	2.628
SJU 137	-22.611	2.792
SJU 139	-22.611	2.659
SJU 150	-22.611	3.052
SJU 152	-22.611	3.222
SJU 154	-22.611	3.025
SJU 170	-22.611	2.852
SJU 184	-22.611	2.75
SJU 185	-22.611	2.704
SJU 189	-22.611	2.548
SJU 190	-22.611	2.534
SJU 196	-22.611	2.956
SJU 201	-22.611	2.996
SJU 204	-22.611	2.939
SJU 206	-22.611	2.905
SJU 207	-22.611	3.039
SJU 217	-22.611	2.806
SJU 218	-22.611	2.788
SJU 222	-22.611	2.702
SJU 223	-22.611	2.716
SJU 225	-22.611	2.713
SJU 227	-22.611	2.532
SJU 229	-22.611	2.92
SJU 235	-22.611	2.662
SJU 240	-22.611	2.781
SJU 245	-22.611	2.905
SJU 246	-22.611	2.814
SJU 250	-22.611	2.97
SJU 252	-22.611	2.933
