Code,Latitude,Locality,Family,Temp Num,Well,Sex,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13
ARS 559,-2.864,ARS,8,28,3,F,0,2.57,856.25,2.797246797
ARS 560,-2.864,ARS,8,28,3,F,0,2.346,780.27,2.549030959
RMO 056,-9.223,RMO,26,20,3,M,1,2.732,884.18,2.888490129
RMO 059,-9.223,RMO,26,20,3,F,0,2.965,984.23,3.215339229
RMO 062,-9.223,RMO,26,24,1,F,0,2.656,876.02,2.861832571
RMO 063,-9.223,RMO,26,24,1,F,0,3.011,994.36,3.248432496
RMO 071,-9.223,RMO,26,24,3,M,1,2.683,860.38,2.810738919
RMO 080,-9.223,RMO,26,28,1,M,1,2.486,803.87,2.626128797
RMO 084,-9.223,RMO,26,28,2,F,0,2.751,893.45,2.918773899
RMO 085,-9.223,RMO,26,28,2,M,1,2.612,845.67,2.762683444
RMO 093,-9.223,RMO,33,20,1,M,1,2.834,919.99,3.005476299
RMO 098,-9.223,RMO,33,20,2,F,0,2.781,923.06,3.015505551
RMO 099,-9.223,RMO,33,20,2,F,0,2.85,953.52,3.115014033
RMO 101,-9.223,RMO,33,20,3,M,1,2.709,877.74,2.867451566
RMO 106,-9.223,RMO,33,24,1,M,1,2.708,883.7,2.886922037
RMO 114,-9.223,RMO,33,24,2,M,1,2.795,917.71,2.998027863
RMO 118,-9.223,RMO,33,24,3,F,0,2.496,828.9,2.707898242
RMO 122,-9.223,RMO,33,28,1,F,0,2.376,786.22,2.568468761
RMO 148,-9.223,RMO,39,20,3,F,0,2.624,873.5,2.85360009
RMO 171,-9.223,RMO,39,28,2,F,0,2.548,842.66,2.752850203
RMO 178,-9.223,RMO,39,28,3,F,0,2.392,802.53,2.621751208
RMO 181,-9.223,RMO,41,20,1,F,0,2.881,970.96,3.171988029
RMO 187,-9.223,RMO,41,20,2,F,0,2.896,964.49,3.150851461
RMO 192,-9.223,RMO,41,20,3,M,1,2.703,884.92,2.890907604
RMO 194,-9.223,RMO,41,20,3,M,1,2.62,851.62,2.782121246
RMO 197,-9.223,RMO,41,24,1,M,1,2.566605836,837.72,2.736711926
RMO 198,-9.223,RMO,41,24,1,M,1,2.773966318,905.72,2.958858241
RMO 199,-9.223,RMO,41,24,1,M,1,2.734925705,895.22,2.924556237
RMO 205,-9.223,RMO,41,24,2,F,0,2.623553374,870.19,2.842786792
RMO 211,-9.223,RMO,41,28,1,M,1,2.701253257,888.07,2.901198205
RMO 216,-9.223,RMO,41,28,2,M,1,2.46947039,803.51,2.624952729
RMO 217,-9.223,RMO,41,28,2,F,0,2.557645856,855,2.793163225
RMO 219,-9.223,RMO,41,28,2,M,1,2.747174379,898.76,2.936120912
RMO 221,-9.223,RMO,41,28,3,M,1,2.512826396,833.51,2.722958456
RMO 226,-9.223,RMO,6,20,1,M,1,2.969844075,960.07,3.13641195
RMO 227,-9.223,RMO,6,20,1,F,0,2.823860601,935.8,3.057125317
RMO 231,-9.223,RMO,6,20,2,F,0,2.775397177,913.62,2.984666416
RMO 233,-9.223,RMO,6,20,2,M,1,2.800080311,911.49,2.977708009
RMO 241,-9.223,RMO,6,24,1,F,0,2.721223355,896.9,2.930044557
RMO 247,-9.223,RMO,6,24,2,F,0,2.684588149,898.75,2.936088244
RMO 258,-9.223,RMO,6,28,1,F,0,2.61634041,872.13,2.849124495
RMO 266,-9.223,RMO,6,28,3,F,0,2.454920607,816.52,2.667454546
RMO 273,-9.223,RMO,18,20,1,M,1,2.955,963.06,3.146179854
RMO 284,-9.223,RMO,18,20,3,F,0,2.83,937.41,3.062384958
RMO 286,-9.223,RMO,18,24,1,M,1,2.753,887.58,2.899597445
RMO 288,-9.223,RMO,18,24,1,F,0,2.74,905.79,2.959086921
RMO 308,-9.223,RMO,18,28,2,F,0,2.528,816.46,2.667258534
RMO 311,-9.223,RMO,18,28,3,M,1,2.504,820.08,2.679084559
RMO 312,-9.223,RMO,18,28,3,M,1,2.497,821.93,2.685128245
RMO 316,-9.223,RMO,24,20,1,M,1,2.755,897.83,2.933082735
RMO 322,-9.223,RMO,24,20,2,F,0,2.916,969.73,3.167969794
RMO 324,-9.223,RMO,24,20,2,F,0,2.972,997.74,3.259474475
RMO 327,-9.223,RMO,24,20,3,M,1,2.871,937.74,3.063463021
RMO 328,-9.223,RMO,24,20,3,F,0,2.866,950.76,3.105997506
RMO 331,-9.223,RMO,24,24,1,M,1,2.75,898.11,2.933997455
RMO 333,-9.223,RMO,24,24,1,M,1,2.747,900.68,2.942393279
RMO 335,-9.223,RMO,24,24,1,M,1,3.038,994.39,3.248530502
RMO 336,-9.223,RMO,24,24,2,F,0,2.561,859.84,2.808974816
RMO 338,-9.223,RMO,24,24,2,M,1,2.686,887.68,2.89992413
RMO 341,-9.223,RMO,24,24,3,M,1,2.781,911.9,2.979047421
RMO 344,-9.223,RMO,24,24,3,F,0,2.632,872.88,2.851574638
RMO 345,-9.223,RMO,24,24,3,M,1,2.871,944.57,3.085775658
RMO 348,-9.223,RMO,24,28,1,F,0,2.473,829.89,2.711132431
RMO 364,-9.223,RMO,27,20,1,M,1,2.818,920.35,3.006652367
RMO 368,-9.223,RMO,27,20,2,M,1,2.72,892.22,2.914755664
RMO 369,-9.223,RMO,27,20,2,F,0,2.627,878.09,2.868594966
RMO 391,-9.223,RMO,27,28,1,F,0,2.531,838.08,2.737887995
RMO 396,-9.223,RMO,27,28,2,F,0,2.389,794.66,2.596041039
RMO 403,-9.223,RMO,27,28,3,M,1,2.591,846.87,2.766603673
RMO 404,-9.223,RMO,27,28,3,M,1,2.348,771.02,2.518812526
RMO 411,-9.223,RMO,28,20,2,M,1,2.687,880.06,2.875030676
RMO 413,-9.223,RMO,28,20,2,M,1,2.734,892.63,2.916095075
RMO 414,-9.223,RMO,28,20,2,M,1,2.825,914.72,2.988259959
RMO 417,-9.223,RMO,28,20,3,F,0,2.667,891.61,2.912762881
RMO 423,-9.223,RMO,28,24,1,M,1,2.426,787.05,2.571180253
RMO 432,-9.223,RMO,28,24,3,F,0,2.409,800.34,2.61459679
RMO 442,-9.223,RMO,28,28,2,M,1,2.595,839.73,2.74327831
RMO 449,-9.223,RMO,28,28,3,F,0,2.546,850.24,2.777612983
RMO 458,-9.223,RMO,30,20,2,M,1,2.85,934.19,3.051865676
RMO 459,-9.223,RMO,30,20,2,F,0,2.608,870.93,2.845204266
RMO 472,-9.223,RMO,30,24,2,M,1,2.615,857.11,2.800056294
RMO 475,-9.223,RMO,30,24,2,M,1,2.705,882.22,2.882087088
RMO 476,-9.223,RMO,30,24,3,M,1,2.615,867,2.832365516
RMO 491,-9.223,RMO,30,28,3,M,1,2.591,851.81,2.782741949
RMO 499,-9.223,RMO,36,20,1,F,0,2.9,964.66,3.151406826
RMO 501,-9.223,RMO,36,20,2,M,1,2.607,857.29,2.800644329
RMO 503,-9.223,RMO,36,20,2,F,0,2.576,859.99,2.809464844
RMO 504,-9.223,RMO,36,20,2,M,1,2.565,846.17,2.764316873
RMO 505,-9.223,RMO,36,20,2,F,0,2.682,893.68,2.919525276
RMO 507,-9.223,RMO,36,20,3,F,0,2.739,907.4,2.964346562
RMO 513,-9.223,RMO,36,24,1,F,0,2.59,865.5,2.82746523
RMO 518,-9.223,RMO,36,24,2,M,1,2.444,805.07,2.630049026
RMO 520,-9.223,RMO,36,24,2,F,0,2.664,889.3,2.90521644
RMO 521,-9.223,RMO,36,24,3,M,1,2.562,832.54,2.719789604
RMO 536,-9.223,RMO,36,28,3,M,1,2.627,865.14,2.826289161
RMO 537,-9.223,RMO,36,28,3,F,0,2.496,838.93,2.740664824
RMO 538,-9.223,RMO,36,28,3,F,0,2.423,819.58,2.67745113
RMO 539,-9.223,RMO,36,28,3,M,1,2.772,899.9,2.93984513
RMO 541,-9.223,RMO,42,20,1,M,1,2.813,912.45,2.980844193
RMO 542,-9.223,RMO,42,20,1,F,0,2.657,860.89,2.812405016
RMO 543,-9.223,RMO,42,20,1,F,0,2.594,869.1,2.839225917
