ID,Biome,Latitude,Locality ,Length.mm,13 CS,18 CS
TPN 007,Cerrado,-10.796,TPN,2.486,,
TPN 008,Cerrado,-10.796,TPN,3.089,,
TPN 009,Cerrado,-10.796,TPN,2.987,,
TPN 010,Cerrado,-10.796,TPN,3.151,,
TPN 011,Cerrado,-10.796,TPN,3.1688,,
TPN 012,Cerrado,-10.796,TPN,3.1923,,
TPN 013,Cerrado,-10.796,TPN,3.099,,
TPN 014,Cerrado,-10.796,TPN,3.005,,
TPN 016,Cerrado,-10.796,TPN,3.1378,,
TPN 017,Cerrado,-10.796,TPN,3.0181,,
TPN 018,Cerrado,-10.796,TPN,2.9385,,
TPN 020,Cerrado,-10.796,TPN,2.894,,
