Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
APR 643,-3.028,44,20,1,0,2.979,994.33,3.248334491,890.72,2.909855378,,
APR 657,-3.028,44,24,1,0,2.66,884.93,2.890940272,787.2,2.571670282,,
APR 664,-3.028,44,28,1,1,2.643,868.19,2.836253076,732.4,2.392646487,,
APR 670,-3.028,44,28,2,0,2.547,840.14,2.744617721,739.81,2.416853901,,
APR 675,-3.028,6,20,1,0,2.759,909.09,2.969867551,782.31,2.555695348,,
APR 677,-3.028,6,20,1,0,2.82,932.31,3.045723984,814.69,2.661476196,,
APR 677,-3.028,6,20,1,0,2.82,928.18,3.032231862,818.82,2.674968318,,
APR 678,-3.028,6,20,1,0,2.898,965.46,3.154020313,827.67,2.703880008,,
APR 702,-3.028,6,24,3,1,2.831,916.38,2.993682943,759.52,2.481243664,,
APR 709,-3.028,6,28,2,0,2.319,767.44,2.507117176,670.57,2.190656683,,
APR 712,-3.028,6,28,2,1,2.766,898.9,2.936578272,766.94,2.505483747,,
APR 714,-3.028,6,28,3,0,2.443,816.04,2.665886454,717.25,2.343153594,,
ARS 023,-2.864,14,20,1,1,2.758,886.95,2.897539324,737.5,2.40930746,,
ARS 024,-2.864,14,20,1,0,2.671,878.39,2.869575024,776.73,2.537466283,,
ARS 029,-2.864,14,20,2,0,2.685,867.48,2.833933608,765.38,2.500387449,,
ARS 032,-2.864,14,20,3,1,2.788,892.19,2.914657658,752.46,2.458179649,,
ARS 036,-2.864,14,24,1,1,2.648,855.47,2.794698648,726.44,2.373176015,,
ARS 037,-2.864,14,24,1,0,2.639,874.79,2.857814336,776.08,2.535342825,,
ARS 038,-2.864,14,24,1,1,2.694,857.64,2.801787729,731.09,2.388366903,,
ARS 039,-2.864,14,24,1,0,2.713,884.18,2.888490129,767.95,2.508783273,,
ARS 040,-2.864,14,24,1,1,2.771,894.95,2.923674185,736.98,2.407608694,,
ARS 042,-2.864,14,24,2,1,2.526,809.07,2.643116457,683.69,2.233517854,,
ARS 045,-2.864,14,24,2,1,2.705,866.07,2.829327338,721.68,2.357625773,,
ARS 048,-2.864,14,24,3,1,2.665,856.9,2.799370254,722.56,2.360500608,,
ARS 056,-2.864,14,28,2,1,2.536,818.05,2.672452838,698.9,2.283206758,,
ARS 057,-2.864,14,28,2,0,2.356,768.54,2.510710719,661.63,2.161450976,,
ARS 059,-2.864,14,28,2,1,2.699,863.39,2.82057216,737.57,2.40953614,,
ARS 061,-2.864,14,28,3,1,2.533,820.39,2.680097284,683.21,2.231949763,,
ARS 074,-2.864,17,20,2,1,2.651,836.31,2.732105657,678.95,2.218032949,,
ARS 076,-2.864,17,20,3,0,2.465,809.65,2.645011234,708.79,2.315515979,,
ARS 078,-2.864,17,20,3,1,2.82,890.46,2.909005995,754.11,2.463569964,,
ARS 082,-2.864,17,24,1,1,2.549,820.72,2.681175347,684.91,2.23750342,,
ARS 089,-2.864,17,24,2,0,2.741,904.27,2.954121298,797.5,2.605318915,,
ARS 093,-2.864,17,24,3,0,2.389,784.38,2.562457743,700.13,2.287224993,,
ARS 100,-2.864,17,28,1,0,2.771,900.16,2.940694513,798.86,2.609761841,,
ARS 103,-2.864,17,28,2,1,2.588,832.14,2.718482861,693.12,2.264324321,,
ARS 104,-2.864,17,28,2,1,2.861,916.42,2.993813617,765.72,2.501498181,,
ARS 108,-2.864,17,28,3,0,2.449,800.78,2.616034207,702.44,2.294771434,,
ARS 113,-2.864,3,20,1,1,2.93,939.03,3.067677267,776.47,2.5366169,,
ARS 116,-2.864,3,20,2,0,2.755,896.13,2.927529077,767.24,2.506463804,,
ARS 118,-2.864,3,20,2,1,3.004,959.4,3.134223156,804.5,2.628186918,,
ARS 119,-2.864,3,20,2,0,2.934,962.26,3.143566368,847.16,2.767551062,,
ARS 120,-2.864,3,20,2,1,2.638,849.63,2.7756202,694.21,2.267885196,,
ARS 124,-2.864,3,20,3,0,2.765,906.24,2.960557007,780.98,2.551350427,,
ARS 128,-2.864,3,24,1,1,2.636,853.07,2.78685819,713.61,2.331262233,,
ARS 136,-2.864,3,24,3,1,2.694,871.05,2.845596289,720.5,2.353770881,,
ARS 139,-2.864,3,24,3,0,2.781,926,3.025110113,808.68,2.641842382,,
ARS 142,-2.864,3,28,1,0,2.461,813.81,2.658601362,701.71,2.292386628,,
ARS 147,-2.864,3,28,2,1,2.468,795.21,2.597837811,649.65,2.122314022,,
ARS 156,-2.864,16,20,1,0,2.609,871.52,2.847131712,769.9,2.515153646,,
ARS 163,-2.864,16,20,2,0,2.843,932.76,3.04719407,801.75,2.619203059,,
ARS 164,-2.864,16,20,2,1,2.944,958.31,3.130662281,807.41,2.637693473,,
ARS 165,-2.864,16,20,2,1,2.917,944.01,3.083946218,783.57,2.559811589,,
ARS 166,-2.864,16,20,3,0,2.704,902.33,2.947783594,777.71,2.540667803,,
ARS 174,-2.864,16,24,1,0,2.814,923.08,3.015570889,810.3,2.647134691,,
ARS 178,-2.864,16,24,2,1,2.512,831.56,2.716588083,716.34,2.340180754,,
ARS 180,-2.864,16,24,2,1,2.724,883.22,2.885353946,726.85,2.374515427,,
ARS 181,-2.864,16,24,3,1,2.509,813.48,2.657523299,678.05,2.215092777,,
ARS 182,-2.864,16,24,3,0,2.575,847.92,2.770033873,708.64,2.315025951,,
ARS 186,-2.864,16,28,1,1,2.456,796.19,2.601039331,670.35,2.189937974,,
ARS 188,-2.864,16,28,1,0,2.385,786.09,2.56804407,674.12,2.202254027,,
ARS 196,-2.864,16,28,3,0,2.355,779.98,2.54808357,684.43,2.235935329,,
ARS 246,-2.864,4,20,1,0,2.766,899.49,2.938505718,742.97,2.427177171,,
