ID,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
RMO 080,2.237497452,1.597279203,2.900580639,1.577680685,3.70085345,1.776932283,3.746583325,1.842260676,3.759649004,1.901056229,3.736784066,1.966384622,3.61592654,2.044778694,3.468937656,2.097041408,3.233755442,2.142771283,2.877715701,2.178701899,2.250563131,1.848793515,2.652332746,1.881457712,2.665398425,1.819395738,2.782989532,1.852059935,2.79605521,1.780198703,2.805854469,1.71487031,3.060635201,1.71487031,3.129230013,1.943519685
RMO 085,1.832461417,1.156312552,2.505343863,1.032188606,3.374211486,1.090984159,3.423207781,1.146513293,3.442806299,1.185710329,3.452605558,1.277170079,3.34481371,1.371896248,3.155361371,1.469888837,2.916912737,1.564615007,2.538008059,1.643009078,1.881457712,1.407826864,2.247296711,1.35883057,2.247296711,1.290235757,2.420416952,1.303301436,2.410617693,1.237973043,2.407351273,1.16937823,2.691529782,1.120381936,2.763391014,1.362096989
RMO 211,2.237497452,0.973393052,2.920179157,1.094250579,3.749849745,1.466622418,3.78904678,1.545016489,3.805378879,1.62341056,3.782513941,1.692005373,3.664922834,1.744268087,3.465671236,1.767133024,3.165160629,1.770399444,2.763391014,1.724669569,2.162369801,1.228173784,2.541274479,1.319633534,2.560872996,1.254305141,2.70459546,1.319633534,2.730726818,1.254305141,2.753591755,1.192243168,3.063901621,1.247772302,3.07370088,1.502553034
RMO 216,2.136238443,1.437224641,2.70786188,1.597279203,3.42974062,2.008848078,3.452605558,2.083975729,3.452605558,2.159103381,3.413408522,2.224431774,3.295817415,2.25382955,3.090032978,2.266895229,2.864650023,2.25382955,2.515143121,2.191767577,2.028446595,1.692005373,2.355088559,1.80633006,2.384486336,1.741001667,2.492278184,1.80306364,2.518409541,1.734468828,2.544540898,1.675673274,2.80258805,1.747534506,2.782989532,1.999048819
RMO 219,2.564139416,1.489487355,3.328481611,1.492753775,4.23981269,1.747534506,4.269210467,1.80959648,4.282276146,1.868392033,4.256144789,1.943519685,4.145086521,2.012114497,3.900105048,2.090508568,3.635525057,2.136238443,3.286018156,2.159103381,2.590270773,1.783465122,2.959376192,1.789997962,2.962642612,1.724669569,3.129230013,1.773665864,3.142295692,1.692005373,3.145562112,1.616877721,3.436273459,1.62341056,3.550598147,1.901056229
RMO 221,1.747534506,1.597279203,2.358354979,1.688738953,3.139029272,2.028446595,3.181492728,2.119906345,3.191291987,2.201566836,3.168427049,2.270161649,3.047569522,2.309358684,2.848317925,2.3452893,2.570672255,2.3452893,2.221165354,2.315891524,1.659341176,1.848793515,2.025180176,1.946786104,2.048045113,1.887990551,2.191767577,1.966384622,2.221165354,1.874924872,2.234231033,1.812862899,2.479212505,1.848793515,2.515143121,2.106840667
RMO 311,2.093774988,1.71487031,2.740526076,1.71813673,3.527733209,1.950052524,3.566930245,2.015380917,3.579995924,2.087242149,3.563663825,2.159103381,3.455871977,2.221165354,3.286018156,2.270161649,3.034503844,2.312625104,2.629467809,2.325690782,2.07744289,1.956585363,2.404084854,1.979450301,2.417150532,1.933720426,2.577205095,1.969651042,2.570672255,1.89778981,2.580471514,1.832461417,2.884248541,1.852059935,2.969175451,2.097041408
RMO 312,2.544540898,1.594012783,3.194558406,1.620144141,4.007896896,1.858592774,4.050360351,1.930454006,4.076491709,2.002315238,4.06015961,2.070910051,3.952367762,2.123172765,3.759649004,2.16890264,3.544065307,2.185234738,3.129230013,2.185234738,2.515143121,1.829194997,2.903847058,1.874924872,2.907113478,1.816129319,3.076967299,1.868392033,3.076967299,1.796530801,3.080233719,1.734468828,3.413408522,1.754067346,3.446072718,1.992515979
RMO 403,1.936986845,1.198776007,2.62293497,1.26737082,3.419941361,1.551549328,3.465671236,1.629943399,3.478736915,1.695271792,3.452605558,1.776932283,3.34154729,1.829194997,3.174959888,1.881457712,2.907113478,1.920654747,2.518409541,1.923921167,1.887990551,1.476421676,2.279960907,1.528684391,2.289760166,1.473155257,2.43674905,1.525417971,2.443281889,1.453556739,2.462880407,1.391494766,2.753591755,1.401294025,2.80258805,1.669140435
RMO 404,2.031713015,1.662607596,2.668664844,1.574414266,3.387277165,1.669140435,3.475470495,1.747534506,3.51793395,1.812862899,3.514667531,1.878191292,3.406875683,1.956585363,3.279485317,2.028446595,3.014905326,2.116639926,2.691529782,2.195033997,2.067643631,1.927187587,2.410617693,1.914121908,2.413884113,1.835727837,2.557606577,1.868392033,2.547807318,1.783465122,2.547807318,1.705071051,2.841785085,1.682206114,2.920179157,1.907589069
