Id	Biome	State	Locality	Family	Temp_let	Sex	Centroid Size	Log Centroid Size
ARS 545	Amazon	Amazonas	ARS	8	B	F	2.623817413984979	0.9646302855758347
ARS 556	Amazon	Amazonas	ARS	8	C	F	2.399318202194254	0.8751846145757849
ARS 559	Amazon	Amazonas	ARS	8	C	F	2.5143473652422212	0.9220132729549685
ARS 560	Amazon	Amazonas	ARS	8	C	F	2.2050428074549875	0.7907469225221494
RMO 056	Amazon	Rondonia	RMO	26	A	M	2.451521987265069	0.8967090509716712
RMO 059	Amazon	Rondonia	RMO	26	A	F	2.84046903490536	1.043969191672527
RMO 062	Amazon	Rondonia	RMO	26	B	F	2.5432876699382385	0.9334576023143542
RMO 063	Amazon	Rondonia	RMO	26	B	F	2.8399586619459685	1.0437894964143521
RMO 071	Amazon	Rondonia	RMO	26	B	M	2.3714479023930353	0.8635006978854809
RMO 080	Amazon	Rondonia	RMO	26	C	M	2.180370654592502	0.7794948873908104
RMO 084	Amazon	Rondonia	RMO	26	C	F	2.4377430279436365	0.8910726226915228
RMO 085	Amazon	Rondonia	RMO	26	C	M	2.316760435228737	0.8401698457277783
RMO 093	Amazon	Rondonia	RMO	33	A	M	2.5524321762624194	0.9370466992099898
RMO 098	Amazon	Rondonia	RMO	33	A	F	2.608742539611399	0.9588683196491322
RMO 099	Amazon	Rondonia	RMO	33	A	F	2.773531812840555	1.0201215307342104
RMO 101	Amazon	Rondonia	RMO	33	A	M	2.369396277860786	0.8626351876167113
RMO 106	Amazon	Rondonia	RMO	33	B	M	2.4687262855370724	0.9037023437627574
RMO 114	Amazon	Rondonia	RMO	33	B	M	2.5408267183028785	0.9324895077202382
RMO 118	Amazon	Rondonia	RMO	33	B	F	2.4016824111001895	0.8761694963900027
RMO 122	Amazon	Rondonia	RMO	33	C	F	2.2634726053466037	0.8169001850358363
RMO 148	Amazon	Rondonia	RMO	39	A	F	2.5586858852139436	0.9394938006062262
RMO 171	Amazon	Rondonia	RMO	39	C	F	2.381739493962955	0.8678311005371685
RMO 178	Amazon	Rondonia	RMO	39	C	F	2.2964080015659705	0.831346163700837
RMO 181	Amazon	Rondonia	RMO	41	A	F	2.821347259147834	1.0372145223339868
