"","ID","Biome","State","Latitude","Lat_group","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time","Lat_grouple","growth"
"143","RPV 237","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","F",0,2.748,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,5,23,"Mid latitude",0.0505436687180052
"144","RPV 238","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","F",0,2.741,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,5,24,"Mid latitude",0.0480153722533642
"145","RPV 239","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.935,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,4,25,"Mid latitude",0.0489412478763664
"146","RPV 240","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","F",0,2.824,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0546397010332103
"147","RPV 241","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","F",0,2.781,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,5,23,"Mid latitude",0.0511405287625914
"148","RPV 242","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.732,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0478587591289783
"149","RPV 243","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,2.81,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,5,25,"Mid latitude",0.0469629310611661
"150","RPV 244","Amazon","Rondonia",-8.742,"2","RPV",38,"A","20","M",1,3.053,23,NA,NA,27,NA,1,0.037037037,0.043478261,4,0.25,NA,4,27,"Mid latitude",0.0485271614675105
"151","RPV 245","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","F",0,2.55,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,3,15,"Mid latitude",0.0668638113693096
"152","RPV 246","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.59,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,3,17,"Mid latitude",0.0594786172319654
"153","RPV 247","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.771,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0566226814378245
"154","RPV 248","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.916,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,4,21,"Mid latitude",0.0563269902182322
"155","RPV 249","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,3.013,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0551468130074082
"156","RPV 250","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.771,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0637005166175526
"158","RPV 252","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.789,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0569823949247418
"159","RPV 253","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.731,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,4,22,"Mid latitude",0.0502333921245784
"160","RPV 254","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","F",0,2.577,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,2,22,"Mid latitude",0.0473312965835114
"161","RPV 255","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.731,13,NA,NA,15,NA,1,0.066666667,0.076923077,2,0.5,NA,3,15,"Mid latitude",0.0772821417301206
"162","RPV 256","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.878,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0660684755290735
"163","RPV 257","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","M",1,2.735,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0558961908818858
"164","RPV 258","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","F",0,2.668,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0545182848918543
"165","RPV 259","Amazon","Rondonia",-8.742,"2","RPV",38,"B","24","F",0,2.622,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,3,21,"Mid latitude",0.0507335465969215
"166","RPV 260","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","M",1,2.688,13,NA,NA,15,NA,1,0.066666667,0.076923077,2,0.5,NA,2,15,"Mid latitude",0.0760613402046849
"167","RPV 261","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","M",1,2.361,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,1,18,"Mid latitude",0.053692828631461
"168","RPV 262","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","F",0,2.615,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0534035609731604
"169","RPV 263","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","M",1,2.587,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0528054946224385
"172","RPV 266","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","F",0,2.335,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0471117717289367
"176","RPV 270","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","M",1,2.479,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,2,14,"Mid latitude",0.0698350194656195
"177","RPV 271","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","F",0,2.339,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0531077179751276
"178","RPV 272","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","M",1,2.605,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,1,20,"Mid latitude",0.0531907041780739
"179","RPV 273","Amazon","Rondonia",-8.742,"2","RPV",38,"C","28","F",0,2.174,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0408720415104746
"182","RPV 280","Amazon","Rondonia",-8.742,"2","RPV",12,"A","20","F",0,2.643,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,3,23,"Mid latitude",0.0485957317811076
"183","RPV 281","Amazon","Rondonia",-8.742,"2","RPV",12,"A","20","F",0,2.604,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0455737487783963
"184","RPV 282","Amazon","Rondonia",-8.742,"2","RPV",12,"A","20","F",0,2.657,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,3,24,"Mid latitude",0.0465332222275084
"187","RPV 285","Amazon","Rondonia",-8.742,"2","RPV",12,"A","20","F",0,2.789,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,1,20,"Mid latitude",0.0603343005085501
"188","RPV 286","Amazon","Rondonia",-8.742,"2","RPV",12,"A","20","F",0,2.775,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,4,20,"Mid latitude",0.0600382792469646
"192","RPV 290","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,2.73,13,NA,NA,15,NA,1,0.066666667,0.076923077,2,0.5,NA,3,15,"Mid latitude",0.0772539699382206
"193","RPV 291","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,NA,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",NA
"196","RPV 295","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,2.446,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0526149433685283
"197","RPV 296","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,2.594,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0501684782049606
"198","RPV 297","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,2.609,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0479483503077296
"201","RPV 300","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,2.577,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0631083954446819
"202","RPV 301","Amazon","Rondonia",-8.742,"2","RPV",12,"B","24","F",0,2.578,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0591883690323122
