"","Code","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"31","APR 186",2.048319698,1.816372811,2.669022637,1.826173383,3.462869027,2.071187701,3.511871891,2.152859141,3.521672464,2.224730007,3.502071318,2.280266586,3.381197588,2.332536307,3.201520422,2.378272313,2.936904958,2.404407174,2.567750052,2.414207747,2.028718553,2.064653986,2.361938025,2.097322562,2.371738598,2.025451695,2.499146043,2.071187701,2.508946616,2.002583692,2.525280904,1.937246541,2.740893504,1.943780256,2.884635237,2.201862004,"Amazon","Amazonas",-3.028,"APR",4,"C",3,"M",2.491
"32","APR 189",1.809839096,1.545223632,2.456676895,1.342678463,3.35179587,1.306743029,3.413866164,1.355745893,3.45960217,1.411282472,3.453068455,1.509288199,3.371397015,1.607293926,3.208054137,1.731434514,2.966306676,1.842507671,2.577550625,1.986249404,1.881709962,1.813105953,2.306401447,1.728167656,2.293334016,1.66936422,2.427275177,1.666097362,2.401140316,1.581159065,2.381539171,1.515821914,2.718025501,1.424349902,2.842166089,1.666097362,"Amazon","Amazonas",-3.028,"APR",7,"A",1,"M",2.692
"33","APR 192",2.397873459,1.051928139,3.080646691,0.846116111,4.014967957,0.862450399,4.070504536,0.898385833,4.103173112,0.976790414,4.099906254,1.055194996,4.008434242,1.140133293,3.845091364,1.261007023,3.613144476,1.375347038,3.198253564,1.519088771,2.46321061,1.33287789,2.884635237,1.244672735,2.874834664,1.179335584,3.054511831,1.169535011,3.047978116,1.087863572,3.021843255,1.00945899,3.289725576,0.947388696,3.485737031,1.195669872,"Amazon","Amazonas",-3.028,"APR",7,"A",1,"M",2.828
"34","APR 197",2.551415765,1.541956775,3.23092214,1.584425923,4.126041115,1.865375674,4.184844551,1.953580829,4.207712554,2.022184838,4.168510263,2.094055704,4.054170248,2.156125998,3.871226224,2.22146315,3.600077046,2.24759801,3.152517558,2.24759801,2.538348334,1.832707099,2.969573534,1.89804425,2.982640964,1.832707099,3.116582125,1.868642532,3.129649555,1.79023795,3.145983843,1.715100226,3.400798734,1.747768802,3.511871891,2.01891798,"Amazon","Amazonas",-3.028,"APR",7,"A",2,"M",2.863
"35","APR 203",1.760836232,1.653029932,2.43707575,1.381880753,3.426933594,1.329611032,3.489003888,1.372080181,3.518405606,1.437417332,3.502071318,1.564824778,3.426933594,1.649763074,3.306059864,1.79023795,3.103514694,1.943780256,2.633087204,2.152859141,1.842507671,1.966648259,2.198595147,1.865375674,2.169193429,1.780437377,2.397873459,1.770636805,2.361938025,1.666097362,2.339070022,1.584425923,2.574283768,1.509288199,2.845432946,1.767369947,"Amazon","Amazonas",-3.028,"APR",7,"A",3,"F",2.814
"36","APR 208",1.434150475,1.862108817,2.169193429,1.613827641,3.155784416,1.607293926,3.211320994,1.672631077,3.234188997,1.734701371,3.23092214,1.816372811,3.162318131,1.914378538,2.985907822,2.064653986,2.724559216,2.208395719,2.299867731,2.361938025,1.522355629,2.149592283,1.943780256,2.064653986,1.927445968,1.99278312,2.087521989,1.979715689,2.071187701,1.89804425,2.048319698,1.819639668,2.326002592,1.728167656,2.541615192,1.986249404,"Amazon","Amazonas",-3.028,"APR",7,"B",1,"F",2.755
"37","APR 209",1.982982547,1.688965365,2.672289495,1.577892208,3.531473037,1.715100226,3.603343903,1.793504808,3.626211906,1.868642532,3.596810188,1.933979683,3.485737031,2.002583692,3.328927867,2.084255132,3.064312404,2.159392856,2.695157498,2.23453058,1.989516262,1.950313971,2.427275177,1.924179111,2.427275177,1.855575102,2.603685486,1.878443105,2.590618055,1.800038523,2.597151771,1.724900799,2.878101522,1.69549908,2.989174679,1.950313971,"Amazon","Amazonas",-3.028,"APR",7,"B",2,"M",2.672
"38","APR 231",1.907844823,1.594226496,2.479544898,1.434150475,3.341995297,1.421083044,3.426933594,1.496220768,3.45960217,1.555024205,3.449801597,1.620361356,3.345262155,1.702032796,3.201520422,1.786971092,2.992441537,1.888243677,2.613486058,2.00585055,1.943780256,1.822906526,2.273732871,1.764103089,2.267199156,1.702032796,2.446876322,1.708566511,2.440342607,1.636695644,2.427275177,1.571358493,2.695157498,1.512555056,2.822564943,1.708566511,"Amazon","Amazonas",-3.028,"APR",7,"C",3,"M",2.52
"39","APR 235",1.927445968,1.381880753,2.554682622,1.182602441,3.394265018,1.166268154,3.453068455,1.21200416,3.489003888,1.290408741,3.489003888,1.355745893,3.423666737,1.44068419,3.266857573,1.555024205,3.025110113,1.675897935,2.646154634,1.819639668,1.99278312,1.643229359,2.397873459,1.551757347,2.388072886,1.492953911,2.57101691,1.483153338,2.55794948,1.404748756,2.525280904,1.329611032,2.81276437,1.267540738,2.927104386,1.486420196,"Amazon","Amazonas",-3.028,"APR",8,"A",1,"M",2.565
"40","APR 239",2.051586556,1.450484762,2.760494649,1.365546466,3.763419924,1.538689917,3.812422788,1.620361356,3.832023933,1.708566511,3.805889073,1.783704235,3.685015342,1.878443105,3.531473037,1.950313971,3.24398957,2.041785983,2.829098658,2.129991138,2.061387129,1.757569374,2.424008319,1.754302517,2.407674031,1.662830505,2.646154634,1.705299653,2.636354062,1.613827641,2.629820346,1.532156202,2.976107249,1.512555056,3.129649555,1.80330538,"Amazon","Amazonas",-3.028,"APR",8,"A",2,"F",2.789
"41","APR 243",2.263932298,1.401481899,3.012042682,1.254473308,3.939830233,1.306743029,3.995366812,1.365546466,4.034569103,1.437417332,4.021501673,1.525622487,3.943097091,1.604027068,3.769953639,1.715100226,3.508605034,1.826173383,3.067579261,1.937246541,2.326002592,1.708566511,2.760494649,1.646496217,2.750694077,1.577892208,2.943438673,1.568091635,2.933638101,1.499487626,2.914036955,1.411282472,3.286458719,1.355745893,3.400798734,1.610560784,"Amazon","Amazonas",-3.028,"APR",8,"A",2,"M",2.861
