"Fam_new","Biome","State","Locality","Latitude","mean.Emtime","sd.Emtime","N.Emtime","se.Emtime","estimate.(Intercept)","std.error.(Intercept)","statistic.(Intercept)","p.value.(Intercept)","estimate.Temp_num","std.error.Temp_num","statistic.Temp_num","p.value.Temp_num","K","tb","T","tc","NG"
"R20","Amazon","Rondonia","RPV",-8.742,20.3513513513514,3.63788870558656,37,0.598065219128027,-0.00106939175551936,0.0079741227920837,-0.134107761242528,0.894085562425324,0.0021472741112881,0.000327974087493904,6.54708464225245,1.47932105628521e-07,465.70672777316,0.498022935170518,365,25.7,19.7521768101734
"R21","Amazon","Rondonia","RPV",-8.742,20.0588235294118,3.03456028935538,34,0.52042279615409,0.00583756550688122,0.00737352990352735,0.791692118057139,0.434369791356638,0.00193072973205738,0.000312245176280944,6.18337729041552,6.39017578757273e-07,517.938882587364,-3.0235021556646,365,25.7,20.2419216615759
"R22","Amazon","Rondonia","RPV",-8.742,20,3.79608435236316,40,0.600213637179638,-0.0037316347793868,0.00721192452856725,-0.517425655884968,0.607858193625747,0.00233203310386958,0.000300288394107213,7.76597813845902,2.31840336426584e-09,428.810379381271,1.6001637254612,365,25.7,20.5135898363724
"R23","Amazon","Rondonia","RPV",-8.742,20.9444444444444,3.03262681463206,36,0.505437802438677,0.0125434451565711,0.00585001641571905,2.14417264246759,0.0392543503644042,0.00152887521696166,0.000244791751635552,6.24561573969152,4.14014238946018e-07,654.0756164439,-8.20436162311449,365,25.7,18.9199714548573
"R24","Amazon","Rondonia","RPV",-8.742,20.625,3.0523215208537,16,0.763080380213426,-0.00227760510714952,0.00827638382343907,-0.275193267462928,0.787187540785898,0.00230323767508037,0.000365055640961523,6.30927841304916,1.92515591887111e-05,434.171432162383,0.988871071271465,365,25.7,20.7741951469818
"R25","Amazon","Rondonia","RPV",-8.742,19.6666666666667,3.19855736712181,27,0.615562652308747,0.00439064981409532,0.00949026341248704,0.462647834233792,0.647618542615777,0.00194497901261164,0.000382649791390808,5.08292192070006,3.00781887744498e-05,514.144365320034,-2.25742786201057,365,25.7,19.8474628099483
"R26","Amazon","Rondonia","RPV",-8.742,19.8,3.45075242631115,40,0.54561186542478,-0.000432136910424959,0.00628669061917322,-0.068738377089374,0.945558311440531,0.0022214732355093,0.000263969638262704,8.41563920051471,3.27347902445874e-10,450.151720946005,0.194527173912085,365,25.7,20.6807997133899
"R27","Amazon","Rondonia","RPV",-8.742,18.9,2.9635719361422,30,0.541071733404782,0.00759617311575983,0.00977648947649378,0.776983715271599,0.443683463265629,0.00196626144812037,0.000408490002997468,4.81348731594921,4.61820532417606e-05,508.579365656556,-3.86325690463052,365,25.7,21.2171187013455
"R28","Amazon","Rondonia","RPV",-8.742,20.7105263157895,3.12710810828637,38,0.507283921355746,0.00719443844809188,0.00748664455759848,0.960969683112572,0.34297779894185,0.00180966980599237,0.000317564579435702,5.69858832873638,1.7573763996152e-06,552.586994980351,-3.97555312260219,365,25.7,19.601577648665
"R29","Amazon","Rondonia","RPV",-8.742,18.7045454545455,3.9800639556305,44,0.600017217383822,-0.018419012955923,0.00602102946226065,-3.05911357374548,0.00385644259925579,0.00309341202078841,0.000248533727861399,12.4466487804566,1.11013580058424e-15,323.26763886601,5.95427082850367,365,25.7,22.2948117320937
"R3","Amazon","Rondonia","RMO",-9.223,19.5581395348837,3.41078349874403,43,0.520139607272503,-0.000568884773489493,0.0069057716692531,-0.0823781614475275,0.93474686815558,0.00221901025120611,0.000285172960819228,7.7812785785562,1.33004078853774e-09,450.651365606115,0.256368700045565,365,25.6,20.5267888449462
"R30","Amazon","Rondonia","RPV",-8.742,19.4761904761905,3.11752008414205,42,0.48104379255722,0.00408163377811773,0.00635091571085469,0.642684293721862,0.524095987277236,0.00202479457462042,0.000262204802738353,7.72218721195932,1.88873839636147e-09,493.877261690838,-2.01582611356161,365,25.7,20.4833818362399
"R4","Amazon","Rondonia","RMO",-9.223,20.9189189189189,3.88285675457859,37,0.638337718304486,-0.00511543298985401,0.0075790849385203,-0.674940712678267,0.504147997815382,0.00230574500072602,0.000317347621130581,7.2656760196014,1.74048766366446e-08,433.699303125509,2.21855972288492,365,25.6,19.6777482454872
"R5","Amazon","Rondonia","RMO",-9.223,20.0952380952381,3.66798624761049,42,0.565982565621182,-0.00492793148531478,0.00655263763836276,-0.75205310552562,0.456421896681197,0.00237572463245165,0.000273842793010674,8.67550541072319,9.83344003955875e-11,420.92420406823,2.07428563815889,365,25.6,20.4000759734884
"R6","Amazon","Rondonia","RMO",-9.223,21.2162162162162,3.64489852880506,37,0.599217626966338,-0.00278047426554715,0.00815106175203819,-0.341118046965095,0.735054104058108,0.00215315452813117,0.00033823383337687,6.36587566250969,2.55283819693387e-07,464.434849860938,1.29134914806159,365,25.6,19.104202803933
"R7","Amazon","Rondonia","RMO",-9.223,19.9714285714286,4.51458886334537,35,0.763104797241263,-0.00196040579863094,0.00913643520027061,-0.214570098255923,0.831422959783816,0.00227123941742455,0.000379033882395801,5.99218044325873,9.87141547006007e-07,440.288237483101,0.863143613830866,365,25.6,20.5069129999147
"R8","Amazon","Rondonia","RMO",-9.223,20.5833333333333,3.98120584747888,36,0.663534307913146,-0.00445663848045784,0.00955250294036799,-0.466541440319741,0.643803642769259,0.00232307308229671,0.000400032347637783,5.80721308167854,1.53288242623431e-06,430.464287852428,1.91842370970601,365,25.6,20.0801218356134
"R9","Amazon","Rondonia","RMO",-9.223,20.78125,4.85090197798306,32,0.857526420875765,-0.0300006277819217,0.00781005412755829,-3.84128295296476,0.00058950968052132,0.00347629523442129,0.000333021826954304,10.4386408128687,1.66775616010495e-11,287.662563897992,8.63005750629694,365,25.6,21.5322735300311
"S1","Mata Atlantica","Rio de Janeiro","SJU",-22.611,22.4193548387097,4.21722020252193,31,0.757435108187369,-0.0118461266169194,0.00938415862491925,-1.26235362064985,0.216879134471922,0.00252817787062715,0.000405822683342538,6.22975987888096,8.49682341939856e-07,395.541789847221,4.68563812481309,365,21.2,15.2392041477374
"S10","Mata Atlantica","Rio de Janeiro","SJU",-22.611,22.95,4.19868400435435,20,0.938854284977734,-0.01549486518421,0.0103182240984496,-1.50169884239463,0.150514342056739,0.00269750580269243,0.000458158062489813,5.88771872316972,1.41952539361506e-05,370.712826271543,5.74414526513504,365,21.2,15.2176741089974
"S11","Mata Atlantica","Rio de Janeiro","SJU",-22.611,22.7916666666667,2.60399637124349,24,0.531538533467129,0.00436807924350707,0.00572336256398456,0.76320156108825,0.453450120237061,0.00176886028610929,0.000250986051707215,7.04764377971385,4.52585779816546e-07,565.33577459617,-2.46943146262552,365,21.2,15.2817898177938
"S2","Mata Atlantica","Rio de Janeiro","SJU",-22.611,23.5,4.52048477585045,24,0.922740090904432,-0.0244675276460311,0.00891234330365005,-2.74535291251746,0.0118096938003021,0.00309094316109218,0.000395421292232249,7.81683541531882,8.65240338227188e-08,323.525845634331,7.9158775722636,365,21.2,14.9870705897299
"S3","Mata Atlantica","Rio de Janeiro","SJU",-22.611,23.0909090909091,3.98719541441441,33,0.694081631578567,-0.0046115840941965,0.00873640748474441,-0.527858173081932,0.601356083609513,0.00214094023589712,0.000376589642682083,5.68507466283267,3.01401490534169e-06,467.084500180348,2.15399945167741,365,21.2,14.8833673509902
"S4","Mata Atlantica","Rio de Janeiro","SJU",-22.611,23.9130434782609,4.19862578685261,23,0.875473995790497,-0.0289416636258132,0.0118371570045395,-2.44498435010317,0.0233896716081444,0.00329225755948684,0.000537955949427879,6.11993893363979,4.5086387055479e-06,303.742942929371,8.79082608297643,365,21.2,14.9117817718873
"S5","Mata Atlantica","Rio de Janeiro","SJU",-22.611,23.2258064516129,5.06431750860439,31,0.909578275692376,-0.0242070381280232,0.0106090958247194,-2.28172490172258,0.0300298723858709,0.00304360502932712,0.000461250972684572,6.598587774488,3.12761824667988e-07,328.557743322261,7.95340981985922,365,21.2,14.7158468002048
"S6","Mata Atlantica","Rio de Janeiro","SJU",-22.611,24.7096774193548,3.33859799304136,31,0.599629900886178,0.00604744501000336,0.00702171750159042,0.861248691453852,0.396166463269659,0.00156837183942417,0.000310632299198469,5.04896574976612,2.21382272240261e-05,637.60389906462,-3.85587451775702,365,21.2,14.3433787221155
"S7","Mata Atlantica","Rio de Janeiro","SJU",-22.611,22.5,6.23656450636929,20,1.39453821823042,-0.0283445311575983,0.0198426325047874,-1.42846626579208,0.170280766009228,0.00316600688991796,0.000812785896752527,3.895253230362,0.00106057612970099,315.855282306702,8.95276989063431,365,21.2,14.1528074416618
"S8","Mata Atlantica","Rio de Janeiro","SJU",-22.611,23.75,3.66885899371855,20,0.820381810981615,-0.0165750723714505,0.0111959701155836,-1.48044985832713,0.156044703469998,0.0027387960998294,0.000511450168330188,5.35496177227036,4.33435648924729e-05,365.123931665556,6.05195559190512,365,21.2,15.1429028049005
"S9","Mata Atlantica","Rio de Janeiro","SJU",-22.611,24.0357142857143,4.0595761761739,28,0.767187785034192,-0.00094096530601571,0.00900842254178421,-0.104453948696476,0.917610730297378,0.00195201290508869,0.00039878796524018,4.89486412638616,4.43516614921132e-05,512.291695097458,0.482048711646687,365,21.2,14.7612235228806
"T1 ","Cerrado","Tocantins","TPN",-10.796,22.2307692307692,1.87766904049703,13,0.520771692604869,0.0332131810218767,0.007244332823395,4.5847121924903,0.000784274272083283,0.000515456101869143,0.000307143169898792,1.67822745997899,0.121453182976404,1940.0294154513,-64.4345481631498,365,27.54,17.3042273545838
"T10","Cerrado","Tocantins","TLC",-10.7,21.6470588235294,3.99910863508643,34,0.685841472748512,-0.00875132905215381,0.00609584779016962,-1.43562132018232,0.160813752357726,0.00240622036232479,0.00025652102025134,9.38020736065669,1.05918761277792e-10,415.589534382397,3.63696076601174,365,27.35,20.8264612179616
"T11","Cerrado","Tocantins","TLC",-10.7,21.5,2.99747368376246,34,0.514062495767166,0.0159231206781651,0.00785616541483358,2.02683113674006,0.0510799677127315,0.00135511491878829,0.000334238164645809,4.05433927697725,0.000300567577522111,737.944794301412,-11.7503840134851,365,27.35,19.3397125030641
"T12","Cerrado","Tocantins","TLC",-10.7,20.8,2.90840566795827,35,0.491610284950292,0.0143696664607014,0.00777366916361976,1.84850501844746,0.0735068586422485,0.00148911957541198,0.000330527348277212,4.50528400501086,7.86134177420503e-05,671.537743853339,-9.6497733949444,365,27.35,20.1104366995999
"T2","Cerrado","Tocantins","TPN",-10.796,22.1428571428571,2.12069670093451,28,0.400774005490559,0.0202735995609175,0.00531984470864329,3.81093822682051,0.000763994970303718,0.00110006037934452,0.000229659906257525,4.78995396832997,5.85093099126033e-05,909.041011545073,-18.4295334525162,365,27.54,18.457780778944
"T3","Cerrado","Tocantins","TPN",-10.796,21.7777777777778,2.92644879745103,27,0.563195333659336,0.0132995722978672,0.00756318362529103,1.75846217106165,0.0909065602808393,0.00136877195221185,0.000306877185735249,4.46032489815886,0.000150938765956853,730.581890127177,-9.71642666725886,365,27.54,18.6133764295503
"T4","Cerrado","Tocantins","TPN",-10.796,22.0434782608696,3.11124442904012,23,0.648739309109639,0.0131363833932436,0.00760934437834459,1.72634891261177,0.0989687382312312,0.00140127543545675,0.000318598876534086,4.39824349257187,0.000250717943686292,713.635574203899,-9.3745905058,365,27.54,18.8805407432888
"T5","Cerrado","Tocantins","TLC",-10.7,20.3571428571429,2.62769136406122,28,0.496586990824148,0.0176567023485182,0.00872479226547995,2.02373899701633,0.0533877164747498,0.00136538064282377,0.000364619808736123,3.74466940662541,0.000906619573782304,732.396497091009,-12.9317069502333,365,27.35,20.0749499693581
"T6","Cerrado","Tocantins","TLC",-10.7,20.9285714285714,3.09035023100369,28,0.584021298237626,0.0160177460533264,0.00834101910445279,1.92035839418896,0.0658451789692149,0.00139439846222925,0.000350157567001745,3.98220285275829,0.00048970557947461,717.155122504425,-11.4872086331181,365,27.35,19.7664085582832
"T7","Cerrado","Tocantins","TLC",-10.7,21.8518518518519,3.09719108105919,27,0.596054701460411,0.00662512149913872,0.0062930686959105,1.0527648464165,0.302518338688794,0.00167021845073138,0.000259816522711817,6.42845356137704,9.89397173535898e-07,598.724076818876,-3.96661975338472,365,27.35,19.0915425862243
"T8","Cerrado","Tocantins","TLC",-10.7,21.4375,4.14213206748845,32,0.732232418372834,0.0045604034527107,0.0093013182083737,0.490296466645459,0.627491012271122,0.00181370697752653,0.000382120489123929,4.74642692331087,4.76318747198248e-05,551.356979043971,-2.51441027090826,365,27.35,19.7703305901424
"T9","Cerrado","Tocantins","TLC",-10.7,21.448275862069,3.12348485436827,29,0.580016576322816,0.0156574527691542,0.00895228533102929,1.74898946918998,0.0916544377031835,0.00133961213228929,0.000372121856771063,3.59992864679659,0.00126219641794608,746.48472934556,-11.6880493926229,365,27.35,19.0879832743522
