Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex
ARS 393	Amazon	Amazonas	-2.864	ARS	6	A	3	F
ARS 400	Amazon	Amazonas	-2.864	ARS	6	B	1	M
ARS 404	Amazon	Amazonas	-2.864	ARS	6	B	2	F
ARS 413	Amazon	Amazonas	-2.864	ARS	6	C	1	M
ARS 416	Amazon	Amazonas	-2.864	ARS	6	C	2	M
ARS 417	Amazon	Amazonas	-2.864	ARS	6	C	2	F
ARS 421	Amazon	Amazonas	-2.864	ARS	6	C	3	M
ARS 422	Amazon	Amazonas	-2.864	ARS	6	C	3	M
ARS 434	Amazon	Amazonas	-2.864	ARS	13	A	2	M
ARS 436	Amazon	Amazonas	-2.864	ARS	13	A	3	M
ARS 438	Amazon	Amazonas	-2.864	ARS	13	A	3	F
ARS 449	Amazon	Amazonas	-2.864	ARS	13	B	2	F
ARS 454	Amazon	Amazonas	-2.864	ARS	13	B	3	F
ARS 456	Amazon	Amazonas	-2.864	ARS	13	C	1	M
ARS 459	Amazon	Amazonas	-2.864	ARS	13	C	1	F
ARS 462	Amazon	Amazonas	-2.864	ARS	13	C	2	F
ARS 470	Amazon	Amazonas	-2.864	ARS	13	C	3	F
ARS 516	Amazon	Amazonas	-2.864	ARS	8	A	1	M
ARS 521	Amazon	Amazonas	-2.864	ARS	8	A	2	M
ARS 523	Amazon	Amazonas	-2.864	ARS	8	A	2	F
ARS 524	Amazon	Amazonas	-2.864	ARS	8	A	2	F
ARS 525	Amazon	Amazonas	-2.864	ARS	8	A	2	F
ARS 531	Amazon	Amazonas	-2.864	ARS	8	B	1	F
ARS 533	Amazon	Amazonas	-2.864	ARS	8	B	1	F
ARS 537	Amazon	Amazonas	-2.864	ARS	8	B	2	F
ARS 545	Amazon	Amazonas	-2.864	ARS	8	B	3	F
ARS 556	Amazon	Amazonas	-2.864	ARS	8	C	3	F
ARS 559	Amazon	Amazonas	-2.864	ARS	8	C	3	F
ARS 560	Amazon	Amazonas	-2.864	ARS	8	C	3	F
RMO 056	Amazon	Rondonia	-9.223	RMO	26	A	3	M
RMO 059	Amazon	Rondonia	-9.223	RMO	26	A	3	F
RMO 062	Amazon	Rondonia	-9.223	RMO	26	B	1	F
RMO 063	Amazon	Rondonia	-9.223	RMO	26	B	1	F
RMO 071	Amazon	Rondonia	-9.223	RMO	26	B	3	M
RMO 080	Amazon	Rondonia	-9.223	RMO	26	C	1	M
