Code	Family	Wing.length..mm.	Sex binary 0=F
SJU 135	1	2.629	0
SJU 135	1	2.629	0
SJU 136	1	2.628	0
SJU 136	1	2.628	0
SJU 150	2	3.052	0
SJU 152	2	3.222	0
SJU 154	2	3.025	1
SJU 170	2	2.852	1
SJU 184	2	2.75	0
SJU 184	2	2.75	0
SJU 185	2	2.704	0
SJU 185	2	2.704	0
SJU 196	3	2.956	1
SJU 201	3	2.996	1
SJU 204	3	2.939	1
SJU 206	3	2.905	0
SJU 207	3	3.039	1
SJU 217	3	2.806	0
SJU 218	3	2.788	1
SJU 222	3	2.702	0
SJU 223	3	2.716	0
SJU 225	3	2.713	0
SJU 225	3	2.713	0
SJU 227	3	2.532	0
SJU 227	3	2.532	0
SJU 235	3	2.662	0
SJU 235	3	2.662	0
SJU 240	5	2.781	1
SJU 245	5	2.905	1
SJU 246	5	2.814	1
SJU 250	5	2.97	0
SJU 252	5	2.933	0
SJU 254	5	2.871	1
SJU 257	5	2.966	1
SJU 265	5	2.734	0
SJU 269	5	2.601	0
SJU 269	5	2.601	0
SJU 271	5	2.657	0
SJU 271	5	2.657	0
SJU 279	5	2.574	0
SJU 279	5	2.574	0
SJU 289	7	3.192	0
SJU 291	7	3.232	0
SJU 295	7	2.811	0
SJU 296	7	2.933	1
SJU 300	7	2.752	1
SJU 303	7	3.018	1
SJU 305	7	2.325	0
SJU 305	7	2.325	0
SJU 309	7	2.499	0
SJU 309	7	2.499	0
SJU 310	7	2.721	0
SJU 310	7	2.721	0
SJU 314	7	2.685	0
SJU 314	7	2.685	0
SJU 315	7	2.676	0
SJU 315	7	2.676	0
SJU 319	9	2.841	1
SJU 320	9	2.876	1
SJU 321	9	3.048	0
SJU 325	9	2.936	0
SJU 341	9	2.895	1
SJU 364	12	2.889	1
SJU 366	12	3.216	1
SJU 370	12	3.05	1
SJU 372	12	3.026	1
SJU 376	12	3.133	0
SJU 379	12	2.668	0
SJU 381	12	2.812	1
SJU 385	12	2.669	0
SJU 389	12	2.822	1
SJU 390	12	2.681	0
SJU 392	12	2.705	1
SJU 411	10	2.865	1
SJU 412	10	2.647	1
SJU 419	10	3.017	1
SJU 422	10	3.01	0
SJU 423	10	3.11	0
SJU 426	10	3.04	0
SJU 431	10	2.895	0
SJU 434	10	2.774	0
SJU 439	10	2.699	0
SJU 439	10	2.699	0
SJU 461	11	3.137	0
SJU 465	11	3.345	0
SJU 472	11	2.783	0
SJU 473	11	2.805	1
SJU 481	11	2.76	1
TLC 104	74	2.674	1
TLC 105	74	2.786	0
TLC 114	74	2.848	1
TLC 119	74	2.665	1
TLC 120	74	2.789	1
TLC 121	74	2.82	1
TLC 125	74	2.872	1
TLC 129	74	2.694	1
TLC 130	74	2.607	0
TLC 132	74	2.725	0
TLC 136	74	2.615	0
TLC 137	74	2.593	0
TLC 139	74	2.49	0
TLC 145	74	2.515	0
TLC 146	74	2.507	0
TLC 150	75	2.726	0
TLC 151	75	2.851	0
TLC 162	75	2.746	0
TLC 163	75	2.855	1
TLC 166	75	2.75	0
TLC 176	75	2.668	0
TLC 178	75	2.798	0
TLC 184	75	2.398	0
TLC 185	75	2.49	1
TLC 189	75	2.587	1
TLC 194	76	2.487	1
TLC 198	76	2.678	0
TLC 206	76	2.768	1
TLC 207	76	2.644	0
TLC 209	76	2.779	1
TLC 210	76	2.696	0
TLC 214	76	2.676	1
TLC 215	76	2.48	0
TLC 218	76	2.62	0
TLC 219	76	2.827	1
TLC 226	76	2.689	0
TLC 229	76	2.399	0
TLC 231	76	2.464	0
TLC 234	76	2.449	0
TLC 237	76	2.507	0
TLC 239	82	2.68	1
TLC 242	82	2.924	1
TLC 244	82	2.544	0
TLC 245	82	2.594	1
TLC 248	82	2.917	0
TLC 249	82	2.572	0
TLC 253	82	2.794	1
TLC 256	82	2.599	0
TLC 257	82	2.609	1
TLC 260	82	2.536	1
TLC 262	82	2.847	1
TLC 267	82	2.617	0
TLC 271	82	2.699	0
TLC 275	82	2.305	1
TLC 276	82	2.512	0
TLC 281	82	2.475	1
TLC 283	82	2.595	0
TLC 284	79	3.104	1
TLC 285	79	2.767	0
TLC 286	79	2.82	0
TLC 295	79	2.868	1
TLC 296	79	2.865	1
TLC 302	79	2.729	0
TLC 304	79	2.703	1
TLC 307	79	2.698	0
TLC 311	79	3.004	1
TLC 316	79	2.651	1
TLC 324	79	2.495	1
TLC 327	79	2.583	1
TLC 332	83	2.733	0
TLC 333	83	2.884	1
TLC 334	83	2.759	1
