"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"204","ARS 282","Amazon","Amazonas",-2.864,"ARS",4,"C","2","F",2.439
"205","ARS 287","Amazon","Amazonas",-2.864,"ARS",4,"C","3","M",2.478
"206","ARS 294","Amazon","Amazonas",-2.864,"ARS",1,"A","1","M",2.787
"207","ARS 300","Amazon","Amazonas",-2.864,"ARS",1,"A","2","M",2.999
"208","ARS 303","Amazon","Amazonas",-2.864,"ARS",1,"A","3","F",2.715
"209","ARS 306","Amazon","Amazonas",-2.864,"ARS",1,"B","1","F",2.724
"210","ARS 313","Amazon","Amazonas",-2.864,"ARS",1,"B","2","M",2.495
"211","ARS 322","Amazon","Amazonas",-2.864,"ARS",1,"C","1","M",2.759
"212","ARS 325","Amazon","Amazonas",-2.864,"ARS",1,"C","1","F",2.551
"213","ARS 326","Amazon","Amazonas",-2.864,"ARS",1,"C","2","M",2.563
"214","ARS 332","Amazon","Amazonas",-2.864,"ARS",1,"C","3","M",2.417
"215","ARS 335","Amazon","Amazonas",-2.864,"ARS",1,"C","3","M",2.965
"216","ARS 343","Amazon","Amazonas",-2.864,"ARS",9,"A","2","F",2.779
"217","ARS 351","Amazon","Amazonas",-2.864,"ARS",9,"B","1","M",2.696
"218","ARS 353","Amazon","Amazonas",-2.864,"ARS",9,"B","1","F",2.697
"219","ARS 356","Amazon","Amazonas",-2.864,"ARS",9,"B","2","M",2.682
"220","ARS 362","Amazon","Amazonas",-2.864,"ARS",9,"B","3","F",2.319
"221","ARS 364","Amazon","Amazonas",-2.864,"ARS",9,"B","3","M",2.454
"222","ARS 369","Amazon","Amazonas",-2.864,"ARS",9,"C","1","F",2.537
"223","ARS 371","Amazon","Amazonas",-2.864,"ARS",9,"C","2","M",2.519
"224","ARS 372","Amazon","Amazonas",-2.864,"ARS",9,"C","2","F",2.443
"225","ARS 373","Amazon","Amazonas",-2.864,"ARS",9,"C","2","F",2.483
"226","ARS 378","Amazon","Amazonas",-2.864,"ARS",9,"C","3","F",2.321
"227","ARS 379","Amazon","Amazonas",-2.864,"ARS",9,"C","3","M",2.396
"228","ARS 384","Amazon","Amazonas",-2.864,"ARS",6,"A","1","M",2.725
"229","ARS 390","Amazon","Amazonas",-2.864,"ARS",6,"A","2","M",2.896
"230","ARS 391","Amazon","Amazonas",-2.864,"ARS",6,"A","3","F",2.725
"231","ARS 393","Amazon","Amazonas",-2.864,"ARS",6,"A","3","F",2.599
"232","ARS 400","Amazon","Amazonas",-2.864,"ARS",6,"B","1","M",2.681
"233","ARS 404","Amazon","Amazonas",-2.864,"ARS",6,"B","2","F",2.559
"234","ARS 413","Amazon","Amazonas",-2.864,"ARS",6,"C","1","M",2.566
"235","ARS 416","Amazon","Amazonas",-2.864,"ARS",6,"C","2","M",2.483
"236","ARS 417","Amazon","Amazonas",-2.864,"ARS",6,"C","2","F",2.523
"237","ARS 421","Amazon","Amazonas",-2.864,"ARS",6,"C","3","M",2.592
"238","ARS 422","Amazon","Amazonas",-2.864,"ARS",6,"C","3","M",2.576
"239","ARS 434","Amazon","Amazonas",-2.864,"ARS",13,"A","2","M",2.747
"240","ARS 436","Amazon","Amazonas",-2.864,"ARS",13,"A","3","M",2.76
"241","ARS 438","Amazon","Amazonas",-2.864,"ARS",13,"A","3","F",2.63
"242","ARS 449","Amazon","Amazonas",-2.864,"ARS",13,"B","2","F",2.663
