Code,Biome,State,Latitude,Locality,Family,Temp,Well,Sex,Wing.length..mm.,Sex binary 0=F
RMO 241,Amazon,Rondonia,-9.223,RMO,6,B,1,F,2.721223355,0
RMO 247,Amazon,Rondonia,-9.223,RMO,6,B,2,F,2.684588149,0
RMO 258,Amazon,Rondonia,-9.223,RMO,6,C,1,F,2.61634041,0
RMO 266,Amazon,Rondonia,-9.223,RMO,6,C,3,F,2.454920607,0
RMO 273,Amazon,Rondonia,-9.223,RMO,18,A,1,M,2.955,1
RMO 284,Amazon,Rondonia,-9.223,RMO,18,A,3,F,2.83,0
RMO 286,Amazon,Rondonia,-9.223,RMO,18,B,1,M,2.753,1
RMO 288,Amazon,Rondonia,-9.223,RMO,18,B,1,F,2.74,0
RMO 308,Amazon,Rondonia,-9.223,RMO,18,C,2,F,2.528,0
RMO 311,Amazon,Rondonia,-9.223,RMO,18,C,3,M,2.504,1
RMO 312,Amazon,Rondonia,-9.223,RMO,18,C,3,M,2.497,1
RMO 316,Amazon,Rondonia,-9.223,RMO,24,A,1,M,2.755,1
RMO 322,Amazon,Rondonia,-9.223,RMO,24,A,2,F,2.916,0
RMO 324,Amazon,Rondonia,-9.223,RMO,24,A,2,F,2.972,0
RMO 327,Amazon,Rondonia,-9.223,RMO,24,A,3,M,2.871,1
RMO 328,Amazon,Rondonia,-9.223,RMO,24,A,3,F,2.866,0
RMO 331,Amazon,Rondonia,-9.223,RMO,24,B,1,M,2.75,1
RMO 333,Amazon,Rondonia,-9.223,RMO,24,B,1,M,2.747,1
RMO 335,Amazon,Rondonia,-9.223,RMO,24,B,1,M,3.038,1
RMO 336,Amazon,Rondonia,-9.223,RMO,24,B,2,F,2.561,0
RMO 338,Amazon,Rondonia,-9.223,RMO,24,B,2,M,2.686,1
RMO 341,Amazon,Rondonia,-9.223,RMO,24,B,3,M,2.781,1
RMO 344,Amazon,Rondonia,-9.223,RMO,24,B,3,F,2.632,0
RMO 345,Amazon,Rondonia,-9.223,RMO,24,B,3,M,2.871,1
RMO 348,Amazon,Rondonia,-9.223,RMO,24,C,1,F,2.473,0
RMO 364,Amazon,Rondonia,-9.223,RMO,27,A,1,M,2.818,1
RMO 368,Amazon,Rondonia,-9.223,RMO,27,A,2,M,2.72,1
RMO 369,Amazon,Rondonia,-9.223,RMO,27,A,2,F,2.627,0
RMO 391,Amazon,Rondonia,-9.223,RMO,27,C,1,F,2.531,0
RMO 396,Amazon,Rondonia,-9.223,RMO,27,C,2,F,2.389,0
RMO 403,Amazon,Rondonia,-9.223,RMO,27,C,3,M,2.591,1
RMO 404,Amazon,Rondonia,-9.223,RMO,27,C,3,M,2.348,1
RMO 411,Amazon,Rondonia,-9.223,RMO,28,A,2,M,2.687,1
RMO 413,Amazon,Rondonia,-9.223,RMO,28,A,2,M,2.734,1
RMO 414,Amazon,Rondonia,-9.223,RMO,28,A,2,M,2.825,1
RMO 417,Amazon,Rondonia,-9.223,RMO,28,A,3,F,2.667,0
RMO 423,Amazon,Rondonia,-9.223,RMO,28,B,1,M,2.426,1
RMO 432,Amazon,Rondonia,-9.223,RMO,28,B,3,F,2.409,0
RMO 442,Amazon,Rondonia,-9.223,RMO,28,C,2,M,2.595,1
RMO 449,Amazon,Rondonia,-9.223,RMO,28,C,3,F,2.546,0
RMO 458,Amazon,Rondonia,-9.223,RMO,30,A,2,M,2.85,1
RMO 459,Amazon,Rondonia,-9.223,RMO,30,A,2,F,2.608,0
RMO 472,Amazon,Rondonia,-9.223,RMO,30,B,2,M,2.615,1
RMO 475,Amazon,Rondonia,-9.223,RMO,30,B,2,M,2.705,1
RMO 476,Amazon,Rondonia,-9.223,RMO,30,B,3,M,2.615,1
RMO 491,Amazon,Rondonia,-9.223,RMO,30,C,3,M,2.591,1
RMO 499,Amazon,Rondonia,-9.223,RMO,36,A,1,F,2.9,0
RMO 501,Amazon,Rondonia,-9.223,RMO,36,A,2,M,2.607,1
RMO 503,Amazon,Rondonia,-9.223,RMO,36,A,2,F,2.576,0
RMO 504,Amazon,Rondonia,-9.223,RMO,36,A,2,M,2.565,1
RMO 505,Amazon,Rondonia,-9.223,RMO,36,A,2,F,2.682,0
RMO 507,Amazon,Rondonia,-9.223,RMO,36,A,3,F,2.739,0
RMO 513,Amazon,Rondonia,-9.223,RMO,36,B,1,F,2.59,0
RMO 518,Amazon,Rondonia,-9.223,RMO,36,B,2,M,2.444,1
RMO 520,Amazon,Rondonia,-9.223,RMO,36,B,2,F,2.664,0
