ID,Biome,Latitude,Locality ,State,Lat_grouple,Length.mm,13 CS unscaled,13 CS scaled,18 CS unscaled,18 CS scaled
RMO 039,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8314,927.5216771,3.030081215,825.36,2.696333567
RMO 040,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9244,948.1231663,3.097383346,833.35,2.722435759
RMO 041,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8579,931.3213112,3.042494078,833.88,2.724167193
RMO 042,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2487,1053.997008,3.443258107,936.67,3.059967483
RMO 043,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.7731,899.9232446,2.939921067,796.44,2.601856046
RMO 044,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1246,1014.145946,3.313070364,886.36,2.895611879
RMO 045,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.1466,1019.477242,3.330486947,899.44,2.938342376
TLC 001,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.7127,903.8095443,2.952617054,811.59,2.651348938
TLC 002,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.4295,1112.812376,3.635399539,976.9,3.191393163
TLC 003,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1484,1019.918926,3.331929867,909.41,2.970912946
TLC 004,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2974,1069.550229,3.494068265,935.17,3.055067197
TLC 006,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0158,975.5710754,3.187051756,849.19,2.774182783
TLC 007,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1718,1026.777109,3.354334573,904.68,2.955460709
TLC 008,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0308,986.5609264,3.222954034,859.76,2.808713467
TLC 010,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0458,987.6390652,3.22647616,876.91,2.864740074
TLC 012,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2797,1060.110517,3.46323007,915.24,2.989958725
TLC 013,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.6502,855.1431729,2.79363095,752.68,2.458898358
TLC 014,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.809,912.39971,2.980679902,814.22,2.659940773
TLC 017,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.8788,936.9644932,3.06092955,827.05,2.701854556
TLC 018,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1109,1014.462874,3.314105723,890.33,2.908581303
TLC 022,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.3062,1070.760621,3.498022444,919.17,3.002797475
TLC 023,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0711,998.9964965,3.26357927,879.2,2.872221178
TLC 024,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.9739,970.3009842,3.169835119,851.12,2.780487818
TLC 025,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1437,1017.327948,3.323465511,878.45,2.869771035
TLC 026,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.251,1054.833782,3.445991729,932.44,3.046148675
TLC 027,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1005,1008.418945,3.294361068,903.74,2.952389863
TLC 028,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2312,1041.353409,3.401953271,926.42,3.026482193
TLC 029,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1343,1023.0738,3.342236391,887.58,2.899597445
TLC 033,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1554,1020.539525,3.333957277,906.97,2.962941813
