ID,Biome,Latitude,Locality ,Ecoregion,Collection month,Season,Length.mm,CS,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16,PW17,PW18,PW19,PW20,PW21,PW22,PW23,PW24,PW25,PW26,PW27,PW28,PW29,PW30,PW31,PW32
APR 027,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.1689,2.961065259,-0.003156955,0.00115275,-0.002652889,0.000506823,0.001667187,0.002707416,0.001819261,0.000670215,0.001737048,0.000400389,0.00172392,0.000840304,0.003467421,0.005307792,-0.002296281,0.001288051,0.021112559,-0.000794272,-0.01039102,0.000505356,0.011063263,-0.002073359,0.018038972,0.00248019,-0.005259645,-0.006023354,-0.009822771,-0.003350332,0.008723567,-0.000416561,-0.006627099,-0.002530534
APR 028,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.02,2.768347992,-0.001970985,0.002854119,-0.000270029,-0.000520979,0.00020591,0.001274808,0.000589214,0.005150611,-0.004334501,-0.002932477,-0.005493214,-0.002364324,0.012720165,0.002005133,0.002702321,-0.001052158,0.012735271,-0.001198941,-0.002880568,0.002017095,0.000929785,-0.002103111,0.001484966,0.001339438,-0.001377103,-0.002385403,-0.002862402,-0.009480042,0.000981411,-0.005999805,-0.014543743,-0.003403429
APR 029,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.0208,2.780696616,0.003488406,0.003711235,0.000478422,0.00059636,-0.00037438,-0.002000555,-0.00437835,-0.001570347,0.000986093,0.001904148,-0.000470363,0.001463695,-0.004766985,0.000342318,-0.000565073,-0.003746282,-0.002858642,0.002575078,-0.009411715,-0.001193067,-0.002615984,-0.006319181,-0.011771298,0.004611436,0.000630853,-0.000185049,-0.001925563,-0.004722154,-0.002441851,-0.000306561,-0.008906184,0.013078416
APR 030,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8665,2.649504292,-0.000919499,0.00191472,-0.003304552,6.69E-05,0.002046378,-0.000919717,0.003689037,0.001165041,-0.003852713,-0.00074183,0.00339079,-0.005477788,-0.005519344,0.00290704,0.009999952,0.002746662,0.021948804,0.005111524,-0.027739199,-0.00408419,-0.002125717,-0.000684198,0.003666062,0.004437824,0.005621873,0.000656662,-0.008047116,0.00432662,0.031793832,-0.001393869,-0.020213486,0.000697412
APR 031,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.0515,2.847380038,-0.001800434,0.00070423,0.000342903,-0.001962991,0.000412829,0.002202948,-0.001456037,0.00315691,-0.004559845,0.000195868,-0.009066347,-0.00352427,0.012889652,-0.00034023,0.00069369,-0.002074903,0.010806873,0.001222916,0.004207781,0.001284783,-0.000318341,0.003223781,-0.013400035,0.000700179,0.009832068,-0.002187801,-0.017357738,-0.002584247,-0.004242059,0.00323075,-0.009817661,-0.01000912
APR 032,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.028,2.793513663,-0.006094021,-0.001085611,-0.001490736,0.002395863,0.003048846,0.00059618,0.002910184,0.000165196,-0.000287678,-0.001782128,0.002590664,-0.004643429,-0.003618927,-0.003097717,0.005554818,-0.002587869,0.039724635,-0.000912473,-0.000323238,-0.002503208,0.0158631,-0.004751928,0.00275178,0.00598106,0.017808573,-0.003678411,-0.031897834,-0.00806857,0.012351907,-0.000687049,0.000382866,0.002671815
APR 033,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8336,2.687960693,-0.002541622,-0.000321634,-5.55E-05,0.001366411,0.001015545,-0.00236594,-0.00479121,-0.001539875,0.000309339,0.001418861,-0.003803912,-0.003430192,0.008869464,-0.003114958,-0.000730256,-0.004082174,0.014700237,-0.00158049,-0.004932221,0.001073031,0.005413677,-0.002813997,-0.012121636,-0.001373683,0.00386972,0.000395046,0.003624525,-0.003146988,0.004245435,-0.000769931,-0.001746503,0.000344013
APR 034,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8192,2.602820693,0.003060573,0.001441614,0.001033007,0.00031309,0.001429605,-0.000473861,-0.000801962,-0.003830093,-6.24E-05,-0.002300225,-0.001250204,-0.000515247,0.006688735,-0.001453741,0.003856062,0.002952869,0.028164009,-0.000344557,-0.01601848,-0.000189951,-0.003736616,0.000807091,-0.003724461,-0.003333186,-0.011839557,0.002915712,-0.002225491,0.003648242,0.007132262,-0.005154668,-0.006152403,0.011756282
APR 035,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,2.8672,2.595179721,-0.000843698,-0.005348333,-0.000478671,0.002032359,-0.00096429,-0.000981603,-0.002364961,-0.002979518,9.46E-05,0.001501546,0.003018737,-0.003102932,0.003504773,-0.00290395,0.000560934,0.003919683,0.016787419,-0.002883523,0.000149158,0.003876244,0.003092376,0.001202807,0.003596273,-0.000849861,0.005257778,-0.003980538,-0.014261074,0.003835038,0.004087087,0.006206035,-0.001089675,0.008958575
APR 036,Amazon,-3.028,APR,Imeri_BB,16-Oct,Dry,3.309,3.123941653,0.002374178,0.002701225,-0.001142975,0.002271413,0.002431715,0.000514662,0.001440975,0.002892178,-0.001903855,-0.000930831,0.001202121,0.003796653,-0.000106718,-0.001172508,0.003054074,-0.000678404,0.022052199,0.002262475,0.002727614,0.002510676,0.004213381,-0.002494524,-0.008903193,0.000607052,0.006455454,-0.0006883,-0.011179708,-0.002423532,-0.006079823,-0.004642877,-0.003409985,-0.010449621
